id_str,created_at,user.id,text
574060267170054144,Sat Mar 07 04:13:27 +0000 2015,29694963,WOMENS-COLLEGE-BASKETBALL: TTU 35 @ WVU 52  TTU 35 @ WVU 52 http://t.co/7Ue4FRM2NE  -via ESPN http://t.co/5ec0t83Eiz
574060265710317568,Sat Mar 07 04:13:27 +0000 2015,1317007538,RT @SInow: The Lady Vols embrace an unfamiliar role in the SEC tournament http://t.co/hx1aGxlNeq http://t.co/0SgsynTwvy
574060267170054144,Sat Mar 07 04:13:27 +0000 2015,29694963,WOMENS-COLLEGE-BASKETBALL: TTU 35 @ WVU 52  TTU 35 @ WVU 52 http://t.co/7Ue4FRM2NE  -via ESPN http://t.co/5ec0t83Eiz
574060565112438784,Sat Mar 07 04:14:38 +0000 2015,2823170060,RT @SInow: The Lady Vols embrace an unfamiliar role in the SEC tournament http://t.co/hx1aGxlNeq http://t.co/0SgsynTwvy
574060690484297729,Sat Mar 07 04:15:08 +0000 2015,353830125,RT @Kevin_Lytle: Colorado State women clinch back-to-back MW titles; more coming soon. http://t.co/sl6GmxcqE2 via @coloradoan http://t.co/e…
574060786458361856,Sat Mar 07 04:15:31 +0000 2015,1455152108,The Big 12’s 3 ps of women’s basketball powr parity prestige? #Baylor #Big12 #conference #IowaState http://t.co/FhRgG7c4lB
574060857333710848,Sat Mar 07 04:15:48 +0000 2015,401681645,RT @Pac12Networks: Down go the top-seeded Beavers! The Buffs move on to the semifinals! http://t.co/9MryU5zZ15 http://t.co/1gBiYcHGuM
574060904012251137,Sat Mar 07 04:15:59 +0000 2015,1455152108,"Da Bigass 12’z three p’z uv biatchz’z basketball: powa, paritee … prestige?: Perhapz dat… http://t.co/TT2EWjEDao"
574061006516715521,Sat Mar 07 04:16:24 +0000 2015,316937242,"Wow, cannot believe Colorado knocked out OSU! This twurn-a-ment (as @ROSGO21 would say) is really up for grabs! http://t.co/AD7GJOuAT4"
574061345164763137,Sat Mar 07 04:17:44 +0000 2015,2598570470,The Big 12’s 3 ps of women’s basketball powr parity prestige? #Baylor #Big12 #conference #IowaState http://t.co/YPRr8W8aev
574061440203681792,Sat Mar 07 04:18:07 +0000 2015,363144498,"WCBB: No. 8 Oregon State Upset by Colorado 68-65; Lexy Kresl 19 Pts, Jamee Swan 18 Pts &amp; 13 Rebs, Ruth Hamblin 14 Pts http://t.co/8cG2HeUGfj"
574061529760464897,Sat Mar 07 04:18:28 +0000 2015,475405685,"makes me so mad when someone says something along the lines of 'womens basketball is so awful to watch' 
if u don't like it, don't watch it😂"
574061546726420480,Sat Mar 07 04:18:32 +0000 2015,254235847,"RT @StanfordWBBBlog: Wow, cannot believe Colorado knocked out OSU! This twurn-a-ment (as @ROSGO21 would say) is really up for grabs! http:/…"
574061853510402048,Sat Mar 07 04:19:46 +0000 2015,2356667155,The Lady Vols embrace an unfamiliar role in the SEC tournament http://t.co/cSwQk0vjeY http://t.co/N1P7EbOMOT
574062243102392321,Sat Mar 07 04:21:18 +0000 2015,1526603576,RT @sportsologist: Wow. RT @Pac12Networks: Down go the top-seeded Beavers! The Buffs move on to the semifinals! http://t.co/7Tw2KcVqQh http…
574062436782833664,Sat Mar 07 04:22:05 +0000 2015,751829623,"Also in @BennettRank #D2WBB Conf. Champ Blog:
@VSUsports wins @CIAAForLife and @WolvesAthletics in @NorthernSunConf 
http://t.co/060B34CdrY"
574062866333986817,Sat Mar 07 04:23:47 +0000 2015,316937242,RT @Pac12Networks: Down go the top-seeded Beavers! The Buffs move on to the semifinals! http://t.co/9MryU5zZ15 http://t.co/1gBiYcHGuM
574062954221563904,Sat Mar 07 04:24:08 +0000 2015,2922443494,RT @Pac12Networks: Down go the top-seeded Beavers! The Buffs move on to the semifinals! http://t.co/9MryU5zZ15 http://t.co/1gBiYcHGuM
574063239245512704,Sat Mar 07 04:25:16 +0000 2015,17822419,.@CUBuffsWBB Traps Beavers 68-65 http://t.co/ARlDNXB04w http://t.co/UxHupxhXq1
574063644226510849,Sat Mar 07 04:26:53 +0000 2015,366887661,"RT @aardodson: Stephanie Mavunga’s life isn’t rooted in basketball. God &amp; family are what drive her, writes @BrendanRMarks: http://t.co/vhH…"
574063728418811904,Sat Mar 07 04:27:13 +0000 2015,324721963,Congrats to Pitt State Womens basketball team 💛❤️🏀
